use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct
UC1,std,DB2,100000,9,eval,1.675,20085728,0,0,false
UC1,std,DB2,100000,9,decrypt,5.088,1185728,2097152,1,true
UC1,label,DB2,100000,9,precomp,0.568,0,0,0,false
UC1,label,DB2,100000,9,setup,14.050,9996264,0,0,false
UC1,label,DB2,100000,9,encrypt,18.744,11306712,0,0,false
UC1,label,DB2,100000,9,eval,2.085,20216280,0,0,false
UC1,label,DB2,100000,9,decrypt,3.667,2104416,1048576,1,true
UC1,std,DB2,100000,10,precomp,0.232,0,0,0,false
UC1,std,DB2,100000,10,setup,14.042,5510712,0,0,false
UC1,std,DB2,100000,10,encrypt,15.085,7257200,0,0,false
UC1,std,DB2,100000,10,eval,1.832,20085616,0,0,false
UC1,std,DB2,100000,10,decrypt,4.899,1185728,2097152,1,true
UC1,label,DB2,100000,10,precomp,0.254,0,0,0,false
UC1,label,DB2,100000,10,setup,12.088,9996152,0,0,false
UC1,label,DB2,100000,10,encrypt,19.932,11306712,0,0,false
UC1,label,DB2,100000,10,eval,1.697,20216280,0,0,false
UC1,label,DB2,100000,10,decrypt,3.440,3417768,1048576,1,true
UC1,std,DB2,100000,11,precomp,0.231,0,0,0,false
UC1,std,DB2,100000,11,setup,14.929,5511608,0,0,false
UC1,std,DB2,100000,11,encrypt,14.937,6714352,0,0,false
UC1,std,DB2,100000,11,eval,1.738,20085616,0,0,false
UC1,std,DB2,100000,11,decrypt,5.058,-1177488,2097152,1,true
UC1,label,DB2,100000,11,precomp,0.499,0,0,0,false
UC1,label,DB2,100000,11,setup,14.142,9996136,0,0,false
UC1,label,DB2,100000,11,encrypt,21.441,11306232,0,0,false
UC1,label,DB2,100000,11,eval,2.204,20216280,0,0,false
UC1,label,DB2,100000,11,decrypt,3.718,3417816,1048576,1,true
UC1,std,DB2,100000,12,precomp,0.513,0,0,0,false
UC1,std,DB2,100000,12,setup,14.005,5511384,0,0,false
UC1,std,DB2,100000,12,encrypt,14.674,6714352,0,0,false
UC1,std,DB2,100000,12,eval,1.466,20085616,0,0,false
UC1,std,DB2,100000,12,decrypt,5.853,-1177488,2097152,1,true
UC1,label,DB2,100000,12,precomp,0.501,0,0,0,false
UC1,label,DB2,100000,12,setup,13.234,5514264,0,0,false
UC1,label,DB2,100000,12,encrypt,17.847,11306184,0,0,false
UC1,label,DB2,100000,12,eval,1.934,20216280,0,0,false
UC1,label,DB2,100000,12,decrypt,2.976,3417800,1048576,1,true
UC1,std,DB2,100000,13,precomp,0.246,0,0,0,false
UC1,std,DB2,100000,13,setup,11.420,10013392,0,0,false
UC1,std,DB2,100000,13,encrypt,17.289,7257200,0,0,false
UC1,std,DB2,100000,13,eval,1.018,20084960,0,0,false
UC1,std,DB2,100000,13,decrypt,4.023,5910136,2097152,1,true
UC1,label,DB2,100000,13,precomp,0.281,0,0,0,false
UC1,label,DB2,100000,13,setup,12.429,5511496,0,0,false
UC1,label,DB2,100000,13,encrypt,18.248,11306184,0,0,false
UC1,label,DB2,100000,13,eval,1.878,20216280,0,0,false
UC1,label,DB2,100000,13,decrypt,4.501,3418024,1048576,1,true
UC1,std,DB2,100000,14,precomp,0.520,0,0,0,false
UC1,std,DB2,100000,14,setup,13.417,5514392,0,0,false
UC1,std,DB2,100000,14,encrypt,16.103,6582328,0,0,false
UC1,std,DB2,100000,14,eval,1.357,20085728,0,0,false
UC1,std,DB2,100000,14,decrypt,4.747,1185728,2097152,1,true
UC1,label,DB2,100000,14,precomp,0.229,0,0,0,false
UC1,label,DB2,100000,14,setup,13.543,5527320,0,0,false
UC1,label,DB2,100000,14,encrypt,17.275,11306584,0,0,false
UC1,label,DB2,100000,14,eval,1.130,20216280,0,0,false
UC1,label,DB2,100000,14,decrypt,3.088,3418248,1048576,1,true
UC1,std,DB2,100000,15,precomp,0.234,0,0,0,false
UC1,std,DB2,100000,15,setup,12.838,9996264,0,0,false
UC1,std,DB2,100000,15,encrypt,15.320,6714352,0,0,false
UC1,std,DB2,100000,15,eval,0.994,20085728,0,0,false
UC1,std,DB2,100000,15,decrypt,4.749,1185728,2097152,1,true
UC1,label,DB2,100000,15,precomp,0.366,0,0,0,false
UC1,label,DB2,100000,15,setup,12.476,10013112,0,0,false
UC1,label,DB2,100000,15,encrypt,17.423,11306840,0,0,false
UC1,label,DB2,100000,15,eval,1.699,20216280,0,0,false
UC1,label,DB2,100000,15,decrypt,3.074,3418248,1048576,1,true
UC1,std,DB2,100000,16,precomp,0.230,0,0,0,false
UC1,std,DB2,100000,16,setup,11.922,5511384,0,0,false
UC1,std,DB2,100000,16,encrypt,14.895,6714352,0,0,false
UC1,std,DB2,100000,16,eval,1.330,20085616,0,0,false
UC1,std,DB2,100000,16,decrypt,4.433,-1177488,2097152,1,true
UC1,label,DB2,100000,16,precomp,0.621,0,0,0,false
UC1,label,DB2,100000,16,setup,14.543,5510712,0,0,false
UC1,label,DB2,100000,16,encrypt,18.839,11306360,0,0,false
UC1,label,DB2,100000,16,eval,2.714,20216280,0,0,false
UC1,label,DB2,100000,16,decrypt,3.096,3417768,1048576,1,true
UC1,std,DB2,100000,17,precomp,0.460,0,0,0,false
UC1,std,DB2,100000,17,setup,12.289,9996152,0,0,false
UC1,std,DB2,100000,17,encrypt,16.863,6714352,0,0,false
UC1,std,DB2,100000,17,eval,1.647,20085616,0,0,false
UC1,std,DB2,100000,17,decrypt,5.928,1185728,2097152,1,true
UC1,label,DB2,100000,17,precomp,0.231,0,0,0,false
UC1,label,DB2,100000,17,setup,12.143,5511384,0,0,false
UC1,label,DB2,100000,17,encrypt,20.127,11306792,0,0,false
UC1,label,DB2,100000,17,eval,1.785,20216280,0,0,false
UC1,label,DB2,100000,17,decrypt,3.465,3417768,1048576,1,true
UC1,std,DB2,100000,18,precomp,0.626,0,0,0,false
UC1,std,DB2,100000,18,setup,13.272,5511384,0,0,false
UC1,std,DB2,100000,18,encrypt,16.401,6714352,0,0,false
UC1,std,DB2,100000,18,eval,1.430,20085616,0,0,false
UC1,std,DB2,100000,18,decrypt,4.594,5910136,2097152,1,true
UC1,label,DB2,100000,18,precomp,0.660,0,0,0,false
UC1,label,DB2,100000,18,setup,13.771,9996136,0,0,false
UC1,label,DB2,100000,18,encrypt,17.849,11306488,0,0,false
UC1,label,DB2,100000,18,eval,1.390,20215864,0,0,false
UC1,label,DB2,100000,18,decrypt,3.953,3418248,1048576,1,true
UC1,std,DB2,100000,19,precomp,0.464,0,0,0,false
UC1,std,DB2,100000,19,setup,12.544,9996152,0,0,false
UC1,std,DB2,100000,19,encrypt,16.769,7257200,0,0,false
UC1,std,DB2,100000,19,eval,1.268,20085616,0,0,false
UC1,std,DB2,100000,19,decrypt,4.758,1185728,2097152,1,true
UC1,label,DB2,100000,19,precomp,0.415,0,0,0,false
UC1,label,DB2,100000,19,setup,12.695,9996152,0,0,false
UC1,label,DB2,100000,19,encrypt,18.039,11306712,0,0,false
UC1,label,DB2,100000,19,eval,1.204,20216280,0,0,false
UC1,label,DB2,100000,19,decrypt,3.498,2104432,1048576,1,true
UC1,std,DB2,100000,20,precomp,0.468,0,0,0,false
UC1,std,DB2,100000,20,setup,12.891,9996136,0,0,false
UC1,std,DB2,100000,20,encrypt,16.803,6582328,0,0,false
UC1,std,DB2,100000,20,eval,1.517,20085616,0,0,false
UC1,std,DB2,100000,20,decrypt,4.312,-1177488,2097152,1,true
UC1,label,DB2,100000,20,precomp,0.686,0,0,0,false
UC1,label,DB2,100000,20,setup,12.702,5514392,0,0,false
UC1,label,DB2,100000,20,encrypt,19.278,11306184,0,0,false
UC1,label,DB2,100000,20,eval,1.846,20215976,0,0,false
UC1,label,DB2,100000,20,decrypt,3.871,3418248,1048576,1,true
UC1,std,DB3,1000000,1,precomp,2.356,0,0,0,false
UC1,std,DB3,1000000,1,setup,12.439,10013392,0,0,false
UC1,std,DB3,1000000,1,encrypt,13.287,7401272,0,0,false
UC1,std,DB3,1000000,1,eval,1.563,20084960,0,0,false
UC1,std,DB3,1000000,1,decrypt,4.401,5910136,2097152,1,true
UC1,label,DB3,1000000,1,precomp,2.907,0,0,0,false
UC1,label,DB3,1000000,1,setup,13.092,10013392,0,0,false
UC1,label,DB3,1000000,1,encrypt,18.889,6056488,0,0,false
UC1,label,DB3,1000000,1,eval,2.343,20215624,0,0,false
UC1,label,DB3,1000000,1,decrypt,3.596,10244176,1048576,1,true
UC1,std,DB3,1000000,2,precomp,2.606,0,0,0,false
UC1,std,DB3,1000000,2,setup,12.317,10013392,0,0,false
UC1,std,DB3,1000000,2,encrypt,14.244,7401272,0,0,false
UC1,std,DB3,1000000,2,eval,1.796,20084960,0,0,false
UC1,std,DB3,1000000,2,decrypt,3.939,5910136,2097152,1,true
UC1,label,DB3,1000000,2,precomp,2.703,0,0,0,false
UC1,label,DB3,1000000,2,setup,13.438,10013504,0,0,false
UC1,label,DB3,1000000,2,encrypt,19.004,6056600,0,0,false
UC1,label,DB3,1000000,2,eval,2.255,20215624,0,0,false
UC1,label,DB3,1000000,2,decrypt,2.864,10244176,1048576,1,true
UC1,std,DB3,1000000,3,precomp,3.398,0,0,0,false
UC1,std,DB3,1000000,3,setup,12.080,10013392,0,0,false
